gene,coefficient
gene_11025,0.021931890654635067
gene_286234,0.02153779624473332
gene_254887,0.01730661422708623
gene_3119,0.01597147967013295
gene_2483,0.0130189817498659
gene_26018,0.012533581935611361
gene_9145,0.011838499536325093
gene_9138,0.01156245511521989
gene_6339,0.011144062299710808
gene_5222,0.01102471039114638
gene_4548,0.010079275677295444
gene_375346,0.0093840279600259
gene_23624,0.009310109729790707
gene_84690,0.008870290201193868
gene_148979,0.007974600510268999
gene_85413,0.0075664247592167
gene_59344,0.007321258706332017
gene_386674,0.007122300070680724
gene_6095,0.00584721909986453
gene_390437,0.005397980971560255
gene_2678,0.0051755321537675395
gene_105379411,0.005082663638692419
gene_85290,0.004118225074612416
gene_154007,0.0034234503268764133
gene_219293,0.001450831270997222
gene_390265,0.0
gene_8574,-0.0001927245484070758
gene_100533496,-0.0003874881320262978
gene_124773,-0.0010178645190954206
gene_6652,-0.0017939861785230265
gene_10202,-0.0023612738282331393
gene_84765,-0.0027066473556812327
gene_313,-0.002792646893499815
gene_55361,-0.004502340810463888
gene_4010,-0.004707161702281095
gene_6196,-0.004980851074095822
gene_221692,-0.005909904600918864
gene_23521,-0.006528286103478382
gene_56244,-0.0077201171763796594
gene_8798,-0.008064401851969948
gene_151531,-0.00872879378047708
gene_55809,-0.009352306461527474
gene_85409,-0.011793459218614065
gene_23143,-0.013938885224525823
